Data;Fechamento;Abertura;Máxima;Mínima
01.02.2019;25.80;25.50;25.85;25.37
31.01.2019;25.58;25.87;25.96;25.56
30.01.2019;25.62;25.81;25.93;25.47
29.01.2019;25.37;25.25;25.56;25.11
28.01.2019;24.77;25.29;25.53;24.74
24.01.2019;25.54;25.40;25.54;25.32
23.01.2019;25.43;25.33;25.54;25.16
22.01.2019;25.13;25.26;25.50;25.02
21.01.2019;25.53;25.31;25.53;25.10
18.01.2019;25.40;25.44;25.56;25.28
17.01.2019;25.16;24.75;25.30;24.68
16.01.2019;24.82;24.80;24.90;24.66
15.01.2019;24.83;24.83;25.12;24.70
14.01.2019;24.85;24.82;25.09;24.66
11.01.2019;24.99;25.15;25.19;24.84
10.01.2019;25.26;25.26;25.41;25.07
09.01.2019;25.48;25.30;25.50;25.15
08.01.2019;24.96;25.40;25.42;24.77
07.01.2019;25.11;24.85;25.92;24.70
04.01.2019;24.72;24.85;24.94;24.47
03.01.2019;24.65;24.33;24.82;23.80
02.01.2019;24.06;22.55;24.20;22.28
