Data;Fechamento;Abertura;Máxima;Mínima
05.09.2019;3.9466;3.9466;3.9466;3.9466
04.09.2019;3.9452;3.9452;3.9452;3.9452
03.09.2019;3.9438;3.9438;3.9438;3.9438
02.09.2019;3.9423;3.9423;3.9423;3.9423
01.09.2019;3.9409;3.9409;3.9409;3.9409
31.08.2019;3.9594;3.9594;3.9594;3.9594
30.08.2019;3.9580;3.9580;3.9580;3.9580
29.08.2019;3.9566;3.9566;3.9566;3.9566
28.08.2019;3.9551;3.9551;3.9551;3.9551
27.08.2019;3.9537;3.9537;3.9537;3.9537
26.08.2019;3.9523;3.9523;3.9523;3.9523
25.08.2019;3.9508;3.9508;3.9508;3.9508
24.08.2019;3.9494;3.9494;3.9494;3.9494
23.08.2019;3.9480;3.9480;3.9480;3.9480
